anime_title;favorite_count
うたの☆プリンスさまっ♪マジLOVE1000％;14793
荒川アンダー ザ ブリッジ;14784
風が強く吹いている;14752
最近、妹のようすがちょっとおかしいんだが。;14752
うしおととら;14653
テニスの王子様;14646
ふしぎの海のナディア;14646
DOUBLE DECKER! ダグ＆キリル;14632
交響詩篇エウレカセブン　ハイエボリューション　1;14592
少年メイド;14521
｢DAYS｣;14510
咲 -Saki- 全国編;14509
グリザイアの迷宮;14500
織田信奈の野望;14439
精霊使いの剣舞;14415
じょしらく;14376
長門有希ちゃんの消失;14369
ハイスクールD×D BorN;14359
のだめカンタービレ;14281
キズナイーバー;14266
機動戦士Ζガンダム;14263
ガンダム　Gのレコンギスタ;14251
フルメタル・パニック!The Second Raid;14236
超時空要塞マクロス;14236
Dies irae（ディエス・イレ）;14200
ガンダムビルドダイバーズ;14187
ハルチカ～ハルタとチカは青春する～;14184
真月譚　月姫;14153
ディーふらぐ！;14135
ソラとウミのアイダ;14110
幻想魔伝 最遊記;14103
じょしおちっ！～2階から女の子が…降ってきた！？～;14096
だから僕は、Ｈができない。;14096
城下町のダンデライオン;14079
ゲゲゲの鬼太郎（第6作）;14037
トータル・イクリプス;14000
ガン×ソード;13960
彼女と彼女の猫 - Everything Flows -;13956
ヨスガノソラ;13911
機動武闘伝Gガンダム;13907
ロード オブ ヴァーミリオン　紅蓮の王;13780
実験品家族 -クリーチャーズ・ファミリー・デイズ-;13767
ハヤテのごとく！;13745
メルヘン・メドヘン;13730
捏造トラップ-NTR-;13725
プリンス・オブ・ストライド オルタナティブ;13702
SUPER LOVERS 2;13691
映画「図書館戦争　革命のつばさ」;13677
時間の支配者;13618
One Room セカンドシーズン;13609
千銃士;13587
彩雲国物語;13568
OVA ハイスクール・フリート;13554
ローゼンメイデン;13537
TVアニメ｢Rewrite｣2nd シーズン;13522
Phantom in the Twilight;13498
這いよれ！ニャル子さんＷ;13485
スレイヤーズ;13484
オオカミ少女と黒王子;13455
BTOOOM！;13431
うたの☆プリンスさまっ♪ マジLOVEレボリューションズ;13420
モブサイコ100;13407
ハマトラ;13382
ダイヤのＡ‐ＳＥＣＯＮＤ ＳＥＡＳＯＮ‐;13340
少女革命ウテナ;13321
ゴーストハント;13310
夢王国と眠れる100人の王子様;13248
となりの関くん;13219
旦那が何を言っているかわからない件;13213
PandoraHearts;13211
進撃！巨人中学校;13186
這いよれ！ ニャル子さんF;13186
純情ロマンチカ;13173
ハイスクールD×D NEW;13144
ブレイドアンドソウル;13133
NO.6;13112
蒼の彼方のフォーリズム;13108
ストライクウィッチーズ　劇場版;13071
名探偵コナン（第2シーズン）;13054
君に届け　2ND SEASON;13031
バカとテストと召喚獣 ～祭～;12991
モーレツ宇宙海賊;12991
ミュージカル『刀剣乱舞』 in 嚴島神社;12990
極黒のブリュンヒルデ;12929
繰繰れ！コックリさん;12913
お酒は夫婦になってから;12907
ブラッディヴォーレス;12906
この中に1人、妹がいる！;12900
裏切りは僕の名前を知っている;12897
精霊の守り人;12886
FAIRY TAIL　第176話～;12819
好きっていいなよ。;12790
彼女がフラグをおられたら;12785
伝説の勇者の伝説;12770
B-PROJECT～鼓動＊アンビシャス～;12764
シドニアの騎士 第九惑星戦役;12758
ミュージカル『刀剣乱舞』 ～三百年の子守唄～;12744
サンリオ男子;12731
スタミュ;12701
ストライクウィッチーズ Operation Victory Arrow;12690
世界征服～謀略のズヴィズダー～;12685
閃乱カグラ SHINOVI MASTER ‐東京妖魔篇‐;12672
UQ HOLDER! ～魔法先生ネギま！2～;12659
君のいる町;12650
立花館To Lieあんぐる;12579
もやしもん;12578
劇場版　はいからさんが通る　前編　～紅緒、花の17歳～;12560
世界一初恋2;12538
少女たちは荒野を目指す;12532
星を追う子ども;12520
縁結びの妖狐ちゃん;12519
サムライチャンプルー;12510
ARIA The NATURAL;12500
テイルズ オブ ジ アビス;12479
三ツ星カラーズ;12421
Get Backers;12385
ガンスリンガー・ガール;12367
ママレード・ボーイ;12357
あんハピ♪;12336
ひぐらしのなく頃に礼;12303
彼氏彼女の事情;12297
SOUND THEATRE × 夏目友人帳 ～集い 音劇の章～;12282
ひぐらしのなく頃に煌;12270
かんなぎ;12259
おくさまが生徒会長!+!;12258
planetarian～星の人～;12253
メカクシティアクターズ;12248
おそ松さん　第3.5話;12237
蒼穹のファフナー EXODUS “第２クール”;12226
弱虫ペダル Ｒｅ：ＲＩＤＥ;12216
寄生獣　セイの格率;12215
蒼穹のファフナー EXODUS;12206
アイドルマスター シンデレラガールズ劇場;12201
神さまのいない日曜日;12196
ストライクウィッチーズ2;12167
ラストピリオド ―終わりなき螺旋の物語―　;12158
もっと To LOVEる-とらぶる-;12123
Ｃ;12114
うたの☆プリンスさまっ♪ マジLOVE2000％;12109
ラーゼフォン;12055
